age,job,marital,education,defaulter,balance,housing,loan,contact,dy,mnth,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,2143,yes,no,(805) 802-3133,5,may,261,1,-1,0,unknown,no
44,technician,single,secondary,no,29,yes,no,(406) 394-9240,5,may,151,1,-1,0,unknown,no
33,entrepreneur,married,secondary,no,2,yes,yes,(257) 421-1770,5,may,76,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,1506,yes,no,(418) 887-5170,5,may,92,1,-1,0,unknown,no
33,unknown,single,unknown,no,1,no,no,(276) 294-4635,5,may,198,1,-1,0,unknown,no
35,management,married,tertiary,no,231,yes,no,(541) 353-2189,5,may,139,1,-1,0,unknown,no
28,management,single,tertiary,no,447,yes,yes,(775) 612-9699,5,may,217,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,(745) 403-4319,5,may,380,1,-1,0,unknown,no
58,retired,married,primary,no,121,yes,no,(636) 752-8294,5,may,50,1,-1,0,unknown,no
43,technician,single,secondary,no,593,yes,no,(383) 920-9781,5,may,55,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,270,yes,no,(262) 765-9937,5,may,222,1,-1,0,unknown,no
29,admin.,single,secondary,no,390,yes,no,(958) 744-1033,5,may,137,1,-1,0,unknown,no
53,technician,married,secondary,no,6,yes,no,(805) 557-4588,5,may,517,1,-1,0,unknown,no
58,technician,married,unknown,no,71,yes,no,(712) 422-2522,5,may,71,1,-1,0,unknown,no
57,services,married,secondary,no,162,yes,no,(515) 833-5979,5,may,174,1,-1,0,unknown,no
51,retired,married,primary,no,229,yes,no,(226) 345-6380,5,may,353,1,-1,0,unknown,no
45,admin.,single,unknown,no,13,yes,no,(529) 945-9671,5,may,98,1,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,(468) 678-5369,5,may,38,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,(967) 529-9188,5,may,219,1,-1,0,unknown,no
33,services,married,secondary,no,0,yes,no,(914) 651-8614,5,may,54,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,723,yes,yes,(985) 238-1694,5,may,262,1,-1,0,unknown,no
56,management,married,tertiary,no,779,yes,no,(345) 866-6424,5,may,164,1,-1,0,unknown,no
